p		0.5	0.125	0.875	0.25	1	0.125	1	1
b		0.5	0.125	0.875	0.25	1	0.875	0.875	2
t		0.5	0.125	0.875	0.875	1	0.125	0.75	3
d		0.5	0.125	0.875	0.875	1	0.875	0.625	4
k		0.5	0.125	0.25	0.375	1	0.125	0.5	5
g		0.5	0.125	0.25	0.375	1	0.875	0.375	6
s		0.75	0.5	0.875	1	0.625	0.125	0	7
S		0.75	0.5	0.75	0.5	0.625	0.125	0	8
r		0.875	0.875	0.125	0.25	0.375	1	0	9
l		0.875	0.875	0.25	0.5	0.375	1	0	10
a		1	1	0.25	0.125	0.125	1	0	11
i		1	1	1	1	0.125	1	0	12
u		1	1	0.75	0.25	0.125	1	0	13
Λ	A	0.875	1	0.625	0.125	0.125	1	0	14
f		0.375	0.125	0.875	0	0.125	0	0.25	15
m		0.875	0.125	0.875	0.125	1	1	0	16
n		0.875	0.125	0.875	0.875	1	1	0	17
ε	e	1	1	0.25	1	0.125	1	0	18
o		1	1	0	0	0.125	1	0	19
θ	O	0.375	0.125	0.875	0.875	1	0.125	0	20
h		0.25	0.125	0	0	0.5	0	0	21
(silence)	-	0	0	0	0	0	0	0	22
