a	A
asleep	Aslip
ugly	Agli
is	As
art	art
bus	bAs
bottle	batAl
bark	bark
beat	bit
brush	brAS
book	buk
double	dAbAl
dog	dag
dot	dat
drug	drAg
duty	duti
guitar	gAtar
glue	glu
group	grup
eat	it
colleague	kalig
carpet	karpAt
club	klAb
crop	krap
cruel	kruAl
luxury	lAkSAri
legal	ligAl
least	list
mynah	maina
pocket	pakAt
possibly	pasAbli
party	parti
pot	pat
peace	pis
probable	prabAbAl
progress	pragrAs
agree	Agri
abrupt	AbrApt
and	And
odd	ad
artist	artAst
but	bAt
barb	bab
be	bi
blood	blAd
breed	brid
bookish	bukAS
duck	dAk
doll	dal
deed	did
drop	drap
friend	frend
god	gad
greek	grik
here	hir
couple	kApAl
copy	kapi
card	kard
clock	klak
creep	krip
cool	kul
lobby	labi
lead	lid
loop	lup
myself	miaiself
policy	palAsi
pop	pap
partly	partli
pea	pi
plug	piAg
probably	prabAbli
priest	prist
alot	Alat
adult	AdAlt
up	Ap
are	ar
bubble	bAbAl
Bobby	babi
box	baks
befriend	bifrend
block	blak
brother	broOAr
boost	bust
dull	dAl
dark	dark
deal	dil
drew	dru
frendly	frendli
guard	gard
greet	grit
holdup	holdAp
cup	kAp
carp	kap
key	ki
clue	klu
crew	kru
lucky	lAki
lock	lak
league	lig
loose	lus
police	pAlis
poppy	papA
poor	par
park	park
people	pipAl
plus	plAs
product	pradAkt
pool	pul
apart	Apart
adapt	Adapt
appeal	Apil
ark	ark
buck	bAk
body	badi
bar	bar
beast	bist
blue	blu
brood	brud
boot	but
dust	dAst
dart	dart
deep	dip
due	du
friendship	frendSAp
got	gat
grew	gru
east	ist
cut	kAt
car	kar
keep	kip
crush	krAS
crucial	kruSAl
luck	lAk
lot	lat
leap	lip
my	mai
pet	pAt
possible	pasAbAl
parcel	parSAl
part	part
peek	pik
plot	plat
produce	pradus
rigid	rAgAd
rustle	rAsAl
rob	rab
read	rid
root	rut
succeed	sAksid
see	si
seal	sil
screw	skru
spark	spark
study	stAdi
store	star
steep	stip
streat	strit
suit	sut
shop	Sap
shield	Sild
shoot	Sut
tea	ti
trust	trAst
treaty	triti
troop	trup
uphold	Aphold
rush	rAS
rod	rad
real	ril
subtle	sAtAl
solid	salAd
secret	sikrAt
sees	sis
school	skul
spot	spat
studied	stAdid
startle	startAl
struggle	strAgal
stupid	stupAd
shipmate	SApmet
sharp	Sarp
sheep	Sip
top	tap
trouble	trAbAl
traffic	trafAk
treat	trit
too	tu
rub	rAS
rock	rak
rupee	rupi
substitute	sAbstAtut
sorry	sari
seed	sid
seat	sit
slug	slAg
speed	spid
stock	stak
start	start
struck	strAk
sue	su
shut	SAt
shot	Sat
sheet	Sit
tar	tar
truck	trAk
trot	trat
true	tru
tube	tub
rocket	rakAt
really	rili
rule	rul
suck	sAk
selfish	selfAS
seek	sik
score	skar
sleep	slip
speak	spik
stop	stap
steal	stil
streak	strik
suitable	sutAbAl
shock	Sak
she	Si
shrug	SrAg
target	targAt
trustee	trAsti
tree	tri
truly	truli
tool	tul
	-
